DAUID,TOPIC_THEME,TEXT_ID,TEXT_NAME_NOM,T_DATA_DONNEE,M_DATA_DONNEE,F_DATA_DONNEE
35060057,Language,8006,Official language minority (percentage),36.5,36.8,37.9
35060058,Language,7002,  French only,2.9,2.9,2.8
35060058,Language,8006,Official language minority (percentage),25.4,25.7,22.2
35060059,Language,7002,  French only,2,2,2
35060059,Language,8006,Official language minority (percentage),29.6,30.6,30.6
35060061,Language,7002,  French only,3.4,2.3,2.2
35060061,Language,8006,Official language minority (percentage),30,26.7,33.3
35060062,Language,7002,  French only,1.8,0,1.7
35060062,Language,8006,Official language minority (percentage),31.5,30.8,32.2
35060064,Language,7002,  French only,1.2,2.5,2.4
35060064,Language,8006,Official language minority (percentage),32.9,35,31
35060065,Language,7002,  French only,3.3,3.6,3.1
35060065,Language,8006,Official language minority (percentage),39.3,42.9,39.4
35060066,Language,7002,  French only,0,0,0
35060066,Language,8006,Official language minority (percentage),37.7,39.3,39.4
35060067,Language,7002,  French only,3.7,3.4,4
35060067,Language,8006,Official language minority (percentage),45.3,46.4,44
35060069,Language,7002,  French only,2.1,0,4.3
35060069,Language,8006,Official language minority (percentage),30.7,28.6,33.3
35060070,Language,7002,  French only,1.5,1.5,1.5
35060070,Language,8006,Official language minority (percentage),36.8,34.8,38.8
35060071,Language,7002,  French only,3.2,1.6,4.8
35060071,Language,8006,Official language minority (percentage),38.1,39.1,38.1
35060072,Language,7002,  French only,1.6,3.4,3
35060072,Language,8006,Official language minority (percentage),29,28.6,30.3
35060073,Language,7002,  French only,4.6,3,6.3
35060073,Language,8006,Official language minority (percentage),33.8,36.4,33.3
35060074,Language,7002,  French only,2.1,4.3,2
35060074,Language,8006,Official language minority (percentage),29.9,28.3,32
35060075,Language,7002,  French only,2.3,1.6,2.9
35060075,Language,8006,Official language minority (percentage),36.6,35.5,37.7
35060076,Language,7002,  French only,2.5,2.9,4.5
35060076,Language,8006,Official language minority (percentage),29.1,22.2,32.6
35060078,Language,7002,  French only,3.2,4.3,2.1
35060078,Language,8006,Official language minority (percentage),31.9,30.4,35.4
35060079,Language,7002,  French only,4.4,5.5,5.1
35060079,Language,8006,Official language minority (percentage),25.7,25.5,23.7
35060080,Language,7002,  French only,2.4,2.4,2.3
35060080,Language,8006,Official language minority (percentage),34.5,34.1,34.9
35060081,Language,7002,  French only,3.1,2.3,3.7
35060081,Language,8006,Official language minority (percentage),32,28.6,34
35060082,Language,7002,  French only,1.8,0,1.6
35060082,Language,8006,Official language minority (percentage),27.4,25.5,30.6
35060083,Language,7002,  French only,4.6,3,5.2
35060083,Language,8006,Official language minority (percentage),31.8,31,32.8
35060089,Language,7002,  French only,3.1,4,2.2
35060089,Language,8006,Official language minority (percentage),30.9,28,34.8
35060090,Language,7002,  French only,1.8,0,1.8
35060090,Language,8006,Official language minority (percentage),30.3,25.5,34.5
35060091,Language,7002,  French only,1.4,3,0
35060091,Language,8006,Official language minority (percentage),25,24.2,23.1
35060092,Language,7002,  French only,3.4,3.4,3.3
35060092,Language,8006,Official language minority (percentage),33.1,31,33.3
35060093,Language,7002,  French only,1.1,0,2.2
35060093,Language,8006,Official language minority (percentage),34.4,32.6,36.4
35060094,Language,7002,  French only,1.7,1.7,1.7
35060094,Language,8006,Official language minority (percentage),29.3,29.3,29.3
35060095,Language,7002,  French only,1.6,1.5,3.3
35060095,Language,8006,Official language minority (percentage),32.5,29.7,33.9
35060096,Language,7002,  French only,3.3,3.9,2.6
35060096,Language,8006,Official language minority (percentage),29.4,29.3,29.5
35060097,Language,7002,  French only,5.4,5.8,5.2
35060097,Language,8006,Official language minority (percentage),39.1,36,42.6
35060098,Language,7002,  French only,2.6,2.6,2.6
35060098,Language,8006,Official language minority (percentage),40.3,37.5,42.1
35060099,Language,7002,  French only,2.8,3,2.6
35060099,Language,8006,Official language minority (percentage),41.7,39.4,41
35060100,Language,7002,  French only,0,0,0
35060100,Language,8006,Official language minority (percentage),31,32.1,30
