ONS_ID,Name,dist_all,time_all,dist_fr,time_fr,diff_d,diff_t,rurality,ons_pop,dist_fr_rurality_avg,time_fr_rurality_avg,dist_all_rurality_avg,time_all_rurality_avg,diff_d_rurality,diff_t_rurality
29,Constance Bay,19.82454088159032,233.33096802074328,22.690737330754352,267.13987105093486,2.8661964491640326,33.80890303019157,Rural,2314,10.92540059102138,128.70991421697076,8.493330453017414,100.02066646489321,14.197406877736938,167.11920458604163
922,Fitzroy,18.081600936494,212.857216856892,23.772550846637635,279.8540009675858,5.690949910143637,66.99678411069382,Rural,3417,10.92540059102138,128.70991421697076,8.493330453017414,100.02066646489321,15.279220393620221,179.8333345026926
930,Kinburn,14.487828132992327,170.54986700767262,17.480932761578043,205.7872041166381,2.9931046285857157,35.23733710896548,Rural,1955,10.92540059102138,128.70991421697076,8.493330453017414,100.02066646489321,8.987602308560628,105.76653765174488
955,Vars,13.292295716395865,156.4749359921221,13.811789373449889,162.58295230737954,0.5194936570540243,6.10801631525743,Rural,2708,10.92540059102138,128.70991421697076,8.493330453017414,100.02066646489321,5.318458920432475,62.56228584248633
66,Metcalfe,12.489339671064524,147.03449605397915,14.175689141755063,166.88393035465555,1.6863494706905389,19.849434300676393,Rural,5533,10.92540059102138,128.70991421697076,8.493330453017414,100.02066646489321,5.682358688737649,66.86326388976234
918,Edwards - Carlsbad Springs,11.564832975113122,136.14620380844647,13.38047171333548,157.54617937989488,1.8156387382223578,21.399975571448408,Rural,3536,10.92540059102138,128.70991421697076,8.493330453017414,100.02066646489321,4.8871412603180655,57.52551291500167
30,Corkery,11.41463736017897,134.40344891871737,12.213130158730158,143.96962962962962,0.7984927985511874,9.56618071091225,Rural,3576,10.92540059102138,128.70991421697076,8.493330453017414,100.02066646489321,3.7197997057127434,43.94896316473641
67,Munster - Ashton,11.220011844715218,132.12100878435817,13.530930902461257,159.47832269826802,2.3109190577460392,27.35731391390985,Rural,3529,10.92540059102138,128.70991421697076,8.493330453017414,100.02066646489321,5.037600449443843,59.457656233374806
85,Marlborough,10.911452959830868,128.44180937279776,16.14685445292621,190.09394402035625,5.235401493095342,61.65213464755848,Rural,1892,10.92540059102138,128.70991421697076,8.493330453017414,100.02066646489321,7.653523999908796,90.07327755546304
35,Dunrobin,10.095577146887674,118.84627226238759,10.288213756613757,121.14902755900212,0.1926366097260832,2.302755296614535,Rural,5671,10.92540059102138,128.70991421697076,8.493330453017414,100.02066646489321,1.7948833035963432,21.12836109410891
70,North Gower - Kars,9.850013092195793,115.93184391586398,10.79925200581644,127.12577766372993,0.9492389136206469,11.193933747865955,Rural,5087,10.92540059102138,128.70991421697076,8.493330453017414,100.02066646489321,2.3059215527990258,27.105111198836724
925,Greely,8.298435248136704,97.691293704175,10.22080633715386,120.34926822246614,1.9223710890171564,22.65797451829114,Rural,11002,10.92540059102138,128.70991421697076,8.493330453017414,100.02066646489321,1.727475884136446,20.328601757572926
916,Cumberland,8.076288779803647,95.09105423094906,8.511776901496773,100.2305415284585,0.4354881216931261,5.139487297509447,Rural,4278,10.92540059102138,128.70991421697076,8.493330453017414,100.02066646489321,0.01844644847935939,0.20987506356529195
936,Navan - Sarsfield,7.084663231850116,83.56349366480514,8.041433461931984,94.93145368101904,0.9567702300818679,11.3679600162139,Rural,5551,10.92540059102138,128.70991421697076,8.493330453017414,100.02066646489321,-0.45189699108543024,-5.089212783874174
