ONS_ID,Name,dist_all,time_all,dist_fr,time_fr,diff_d,diff_t
29,Constance Bay,20.22203794295592,18.06011380005762,23.493797292069633,21.92711798839458,3.2717593491137116,3.86700418833696
922,Fitzroy,18.548062686567164,17.48115013169447,24.84242486695694,21.310277374616998,6.294362180389776,3.829127242922528
930,Kinburn,15.073220255754476,14.865241261722081,19.85497118353345,18.556437964551172,4.781750927778974,3.6911967028290906
955,Vars,13.908578581979322,14.662845888724766,14.402207873144949,15.246406315646812,0.49362929116562704,0.5835604269220465
66,Metcalfe,12.979013157419121,11.994536417856498,15.469928228865317,15.26514025500911,2.490915071446196,3.2706038371526116
85,Marlborough,11.233185623678647,11.919839675828047,16.325262086513995,16.621738761662428,5.092076462835347,4.7018990858343805
30,Corkery,11.952568288590603,11.155492170022372,13.276168253968255,12.359047619047619,1.3235999653776513,1.203555449025247
918,Edwards - Carlsbad Springs,12.177727884615384,10.744400452488687,14.254361622143547,11.988697135500482,2.0766337375281623,1.244296683011795
67,Munster - Ashton,12.034003853782941,10.434466798904316,15.499723062898816,13.109641446368885,3.465719209115875,2.6751746474645692
70,North Gower - Kars,10.026186436013369,9.816268920778455,11.00357079804978,10.24375331451544,0.9773843620364122,0.4274843937369841
35,Dunrobin,10.700424616469759,9.66477575971316,10.953828603740053,9.634625254116349,0.25340398727029445,-0.030150505596811428
925,Greely,8.932813961097983,8.673637217475612,10.703642578764597,10.362104407698629,1.7708286176666146,1.688467190223017
916,Cumberland,8.591290836839645,8.665867227676484,9.077011977490635,9.247776265051625,0.48572114065098937,0.5819090373751408
936,Navan - Sarsfield,7.618589119077644,8.240133909806042,8.809872399162701,9.462005638315514,1.1912832800850577,1.2218717285094716
911,Carp,6.0617071062271055,6.369206837606838,8.582168401371144,8.547431183130778,2.520461295144038,2.1782243455239394
81,Osgoode - Vernon,5.411266550925926,6.185590920781893,17.165702526825893,15.47749048113534,11.754435975899966,9.291899560353448
921,Findlay Creek,4.99947409374585,5.490665692913734,5.018217447882087,5.513710883902093,0.018743354136236512,0.02304519098835911
952,Stonebridge - Half Moon Bay - Heart's Desire,3.749540740740741,4.470784054849095,4.0723477301898265,4.82760707289063,0.3228069894490857,0.3568230180415348
32,Crystal Bay - Lakeview Park,3.4137341241797072,4.189036681810533,3.173410351966874,3.7988198757763976,-0.2403237722128333,-0.39021680603413555
64,Manotick,3.601615568964052,4.174945752244979,6.492466957509658,6.767815193516625,2.8908513885456055,2.5928694412716453
50,Hunt Club Park,3.2902235095027335,4.057300616158987,3.342821665167795,4.088392893769426,0.05259815566506143,0.031092277610439645
926,Greenbelt,3.547668064358849,4.038744514870795,4.670715718163931,4.943662175288286,1.1230476538050822,0.9049176604174907
928,Kanata Lakes - Arcardia,2.9482129632966902,4.0186776396147454,3.2982821317722864,4.330414293010647,0.3500691684755961,0.3117366533959016
87,Playfair Park - Lynda Park - Guildwood Estates,2.700923200805234,3.9156880836548678,2.8185088291636884,4.036905551584465,0.11758562835845421,0.12121746792959742
944,Richmond,3.232789755985267,3.843609192756292,5.382692747252748,6.159776556776558,2.149902991267481,2.316167364020266
75,Chapel Hill South,3.123048311990687,3.7320708834562155,4.568768484090457,5.5600564948956706,1.44572017209977,1.827985611439455
948,Rockcliffe Park,2.491416873706004,3.7277743271221535,2.2927379310344826,3.4655531609195402,-0.19867894267152142,-0.26222116620261327
86,Pineview,3.0522236646163807,3.679844609906118,3.2662523967901422,3.8613916077932418,0.2140287321737615,0.18154699788712358
48,Hunt Club - Ottawa Airport,2.7269334578043316,3.5786756285785417,4.762535142995638,5.633338180643077,2.0356016851913066,2.054662552064535
942,Portobello South,2.6693255554539634,3.3417452988327088,3.145841435692877,3.8749610423840313,0.4765158802389138,0.5332157435513225
947,Riverview,2.445283559222157,3.2762811824788844,2.710349703042449,3.657853039412158,0.26506614382029214,0.38157185693327333
909,Cardinal Creek,2.573988423431253,3.215661394055276,3.126629977212253,3.774843374041982,0.5526415537810001,0.5591819799867062
904,Blackburn Hamlet,2.4189808742500305,3.1771890943226806,3.156604812725553,4.075772607827336,0.7376239384755223,0.8985835135046552
65,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,2.362727704485488,3.167011873350923,3.8526753298153036,4.3297702286719435,1.4899476253298154,1.1627583553210203
920,Fallingbrook,2.138662373791622,3.1498229502327244,2.4631988703056105,3.442405901035596,0.3245364965139883,0.29258295080287144
100,Trend-Arlington,2.28396769741886,3.064196268847432,4.228152253213433,4.792405121170553,1.944184555794573,1.7282088523231214
951,Stittsville,2.1005895793775946,2.9867177292182925,3.9764814551244556,4.914864062736943,1.875891875746861,1.9281463335186508
76,Chatelaine Village,2.199926206896552,2.949614559386973,2.429302551743092,3.3772455480151935,0.22937634484654001,0.42763098862822035
938,Old Barrhaven West,1.9978345085350888,2.8185427126334193,2.8378671831868054,3.6728159626373453,0.8400326746517166,0.8542732500039261
7,Bells Corners West,1.9082215830648872,2.7768752876208005,4.481566427684544,5.046881083029599,2.5733448446196565,2.2700057954087987
917,East Industrial,2.120888882818902,2.754043521806428,1.447765348402232,1.941055932454138,-0.6731235344166699,-0.81298758935229
905,Borden Farm - Fisher Glen,1.7852459235498528,2.74124832932371,2.691702995434932,3.6085695425899287,0.9064570718850793,0.8673212132662185
933,Lindenlea - New Edinburgh,1.6946481969089868,2.7278267506201104,1.6353034821504402,2.63285017316385,-0.059344714758546635,-0.09497657745626054
915,Convent Glen - Orléans Woods,1.9329493740542028,2.714768881551795,1.9450881638096056,2.7232535568590457,0.012138789755402835,0.008484675307250722
51,Hunt Club South Industrial,2.4495010893246185,2.712461873638344,3.1406910675381265,3.4906644880174293,0.691189978213508,0.7782026143790852
919,Elmvale - Canterbury,1.786242706659525,2.617784621793727,2.082829995857267,2.9659430075414224,0.29658728919774213,0.3481583857476953
49,Hunt Club East - Western Community,1.9752788306847164,2.6063798966712444,2.315783714194648,2.9419001953964052,0.3405048835099316,0.33552029872516087
945,Rideau Crest - Davidson Heights,2.026371910032131,2.5594382958467214,3.099211572384967,3.707391283813302,1.0728396623528358,1.1479529879665806
108,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,1.6299773422562143,2.4087472115997453,3.050034838793891,4.0107059565766,1.4200574965376767,1.6019587449768546
913,Chapel Hill North,1.762299408617291,2.40807597233956,2.1494455134107495,3.118749661043717,0.38714610479345857,0.7106736887041567
106,Whitehaven - Queensway Terrace North,1.638269023317567,2.361074599618289,2.218325342808399,3.144874998396593,0.5800563194908321,0.783800398778304
950,Skyline - Fisher Heights,1.637741720869727,2.354072353342006,2.4901507078363614,3.2108456879574927,0.8524089869666345,0.8567733346154869
93,Rothwell Heights - Beacon Hill North,1.4524399409648556,2.2904981090305325,1.595089390318457,2.5632754320282802,0.14264944935360147,0.2727773229977477
923,Glebe - Dows Lake,1.4072207736499425,2.2736461126005363,1.779852505434161,2.8870486786408875,0.3726317317842185,0.6134025660403513
90,Riverside Park,1.6656434084995664,2.2722448684590923,2.215164545275977,3.0671410331958358,0.5495211367764106,0.7948961647367434
45,Greenboro East,1.6156302800466746,2.26710553610787,1.384220587961382,2.000361241320792,-0.2314096920852926,-0.26674429478707795
941,Parkwood Hills - Stewart Farm,1.4638333756023334,2.251842928396314,2.0432351106330673,2.942504865806187,0.5794017350307339,0.69066193740987325
914,Chapman Mills,1.6042807733443027,2.2066400658165364,2.3318838692567794,3.043812459943866,0.7276030959124766,0.8371723941273297
937,Old Barrhaven East,1.5450520107450423,2.205840114824471,2.0296237589185866,2.814394582469541,0.4845717481735443,0.60855446764507
943,Queenswood Heights,1.2908168219633944,2.163371880199667,1.3406707484409723,2.2377883049291722,0.049853926477577915,0.07441642472950516
902,Beaverbrook,1.3351422586520947,2.155525197328476,3.0053360279631396,3.5273019807223807,1.670193769311045,1.3717767833939045
901,Bayshore - Belltown,1.4694770972037283,2.1507212605415003,2.122725404945052,3.049415507016136,0.6532483077413238,0.8986942464746357
946,Riverside South - Leitrim,1.756497893189613,2.1358363080656075,3.440168221963006,3.8621944259290113,1.6836703287733932,1.7263581178634038
924,Glen Cairn - Kanata South Business Park,1.4877722286220647,2.1307682764731948,2.080728181698138,2.895412210044456,0.5929559530760733,0.7646439335712611
99,Tanglewood,1.3648961165048543,2.1189524412551006,2.3280699522082497,2.9465714221152655,0.9631738357033954,0.8276189808601648
956,Wateridge Village,1.2,2.1166666666666667,1.2,2.1166666666666667,0,0
932,Ledbury - Heron Gate - Ridgemont,1.4417128254723999,2.1027805882061203,1.783526888630248,2.6058790632790187,0.3418140631578481,0.5030984750728984
906,Britannia Village,1.2549016146393972,2.089286483161618,1.4174391478317292,2.2496226704156306,0.162537533192332,0.16033618725401277
12,Briar Green - Leslie Park,1.5742639776951672,2.080114002478315,3.4449426417680318,4.07761350008566,1.8706786640728645,1.9974994976073455
